business_age,annual_revenue,monthly_cash_flow,existing_loan,repayment_history,gst_consistency,profit_margin,transaction_count,payment_defaults,loan_amount,debt_to_income,loan_default
7,4030415,229700,1201507,50,76,20.23,768,7,1470096,0.3,1
20,2485221,297249,1278989,70,74,28.39,600,9,1756008,0.51,1
15,3710043,351974,1490194,72,53,12.93,715,8,1104869,0.4,1
11,4508760,341301,1187910,58,81,16.15,649,9,706304,0.26,1
8,3670431,359379,146626,50,66,29.93,199,8,1279180,0.04,1
7,4271867,256514,1129375,70,50,28.1,802,8,563110,0.26,1
19,4112487,274491,235018,71,82,34.14,621,3,1360393,0.06,0
11,1618060,236094,999529,53,79,34.88,619,8,440881,0.62,1
11,4428087,319794,1327873,50,54,12.22,102,3,168677,0.3,1
4,4428456,158182,1107929,100,61,32.01,551,1,1664460,0.25,0
8,4839022,203242,576380,59,87,7.84,638,9,1130436,0.12,1
3,348725,192873,243907,64,81,26.29,860,2,1540660,0.7,0
2,691215,134926,155355,85,87,11.6,520,1,1241465,0.22,0
12,2468693,91147,1488221,78,66,14.01,367,0,701294,0.6,0
6,4124152,320279,972461,95,94,33.39,291,5,1558347,0.24,0
2,1108017,29199,28887,54,89,12.89,350,3,1595797,0.03,0
1,521898,373727,1487964,78,81,25.2,629,6,195133,2.85,1
12,885338,193208,790787,96,73,10.34,940,6,1440810,0.89,0
12,3702415,364434,1344421,96,61,7.8,763,9,539551,0.36,0
17,254745,230868,172606,76,96,15.18,906,0,1672103,0.68,0
10,1883032,130787,251420,74,80,23.73,588,8,1436196,0.13,1
16,2318219,124427,978778,65,68,12.44,680,7,1082279,0.42,1
15,2348185,158063,536567,65,78,14.01,408,9,1999012,0.23,1
15,245256,163625,645026,85,70,26.26,990,0,817833,2.63,1
19,702264,230782,663621,74,75,8.08,766,7,1144750,0.94,1
12,3546145,97493,659834,90,77,18.41,156,4,1747333,0.19,0
20,1139695,284915,420141,50,66,33.25,798,0,1057809,0.37,0
3,2383955,135607,344318,54,58,16.91,760,3,487638,0.14,0
5,1452390,256834,220079,90,70,18.03,380,6,1224226,0.15,0
19,2415995,89876,1291527,69,99,27.15,852,4,327880,0.53,0
7,679809,177071,204470,54,83,28.37,978,2,930089,0.3,0
9,2850432,212959,1354444,85,60,28.09,301,3,1009702,0.48,0
7,4375282,331792,409336,78,69,34.94,221,1,461406,0.09,0
18,3717847,253722,1181683,97,98,7.14,763,7,1311506,0.32,0
4,1967413,347927,624559,83,99,34.47,550,1,1005790,0.32,0
14,4538586,54440,591676,97,96,33.51,35,5,534519,0.13,0
18,2773697,41655,1100911,67,88,30.56,587,6,1020985,0.4,1
9,3800952,53039,43315,51,65,18.62,888,6,1473561,0.01,1
2,2171277,327399,891354,65,78,31.13,133,0,632219,0.41,0
20,1144740,82219,1357347,78,50,11.62,87,7,1255527,1.19,1
15,3246555,196061,1450095,82,67,28.75,609,8,1727558,0.45,1
7,1396311,283388,49334,65,71,10.56,49,6,370779,0.04,0
12,4644041,104594,186964,84,57,29.46,538,7,407396,0.04,0
8,342157,330739,1240844,96,56,23.44,927,3,307715,3.63,1
15,2487319,180623,1088302,92,74,7.94,683,7,815114,0.44,1
3,4988109,204302,206823,91,79,31.86,894,2,431161,0.04,0
14,1662603,376042,772333,66,83,22.34,41,0,253149,0.46,0
17,1475029,300515,817126,53,93,24.69,450,7,1760640,0.55,1
4,3220791,169950,162325,98,97,13.51,49,5,1483932,0.05,0
18,336645,177229,679590,53,90,31.15,975,8,434691,2.02,1
8,1852131,15914,1233622,100,60,21.36,698,2,549077,0.67,0
4,1386837,224772,1458717,74,64,17.63,679,7,1820990,1.05,1
2,542221,299324,789097,82,84,21.03,429,8,154565,1.46,1
6,2635919,352363,289169,63,72,26.1,68,8,1203729,0.11,1
10,1379580,350760,416749,73,94,25.85,344,6,589496,0.3,1
4,253687,237561,963401,60,70,15.73,507,9,249740,3.8,1
18,2690272,197435,518982,74,77,16.56,317,2,1137632,0.19,0
12,2829137,105213,1331718,77,62,21.87,793,2,1058563,0.47,0
2,4998757,47805,1036484,56,83,32.73,200,1,545155,0.21,0
10,4075010,136599,323392,98,87,27.36,821,0,353617,0.08,0
4,4976415,163775,285201,85,55,16.71,141,1,215095,0.06,0
14,2239660,200093,1263256,59,93,15.11,143,4,525114,0.56,0
16,2219450,84176,201703,98,53,20.71,472,0,1459281,0.09,0
15,4900858,104799,359175,85,54,31.1,285,9,1634702,0.07,1
8,2171140,108385,899145,80,89,5.26,47,3,449617,0.41,0
14,4061607,245654,515728,68,55,26.31,278,9,485166,0.13,1
8,3728434,98919,67173,67,70,13.84,96,9,1278128,0.02,0
16,4324390,91462,735566,98,77,11.25,451,0,1958844,0.17,0
13,2856222,189340,1087310,55,52,5.36,898,9,1995428,0.38,1
18,1327109,175320,457391,77,72,31.9,725,7,1376426,0.34,1
15,4634315,41159,234046,56,57,32.37,913,4,1419631,0.05,0
13,1753744,52039,194855,87,68,6.84,54,9,1043539,0.11,0
9,4466988,242974,356338,61,60,20.65,455,3,780353,0.08,1
15,1988220,57800,726099,90,99,9.58,133,2,715504,0.37,0
13,4211718,312905,1266702,99,59,27.76,81,8,1853632,0.3,0
1,4213582,104626,444258,83,77,24.96,71,5,615057,0.11,0
7,3072875,128368,707717,74,69,13.91,135,0,565712,0.23,0
9,2030288,184735,1188317,66,93,8.51,66,7,1221656,0.59,1
1,2041646,90903,908679,82,77,29.94,457,9,1613630,0.45,1
12,4169579,128998,1460702,72,78,25.23,431,1,908721,0.35,0
8,1796246,251324,1105535,58,57,5.2,120,8,655634,0.62,1
11,2019239,332038,620911,55,68,23.84,298,6,1127288,0.31,1
19,2450618,243229,655726,51,97,29.31,126,2,1599908,0.27,0
17,4628622,323588,124716,87,70,22.72,54,3,863549,0.03,0
8,2669930,71748,1431929,58,67,17.74,378,2,1698508,0.54,0
3,331936,51190,9907,52,58,22.52,906,5,1701143,0.03,1
3,2179746,50318,882257,65,53,23.59,819,8,1244022,0.4,1
1,2669970,178090,451095,74,90,24.2,21,9,1459358,0.17,1
5,1496573,134078,1002663,73,74,34.01,770,8,1922847,0.67,1
10,3735647,49759,965701,96,83,10.36,511,0,213917,0.26,0
7,2778682,288642,269629,78,58,23.69,899,9,134341,0.1,1
9,1704900,35989,1360247,93,58,10.64,909,5,743948,0.8,1
7,3590664,166640,1278208,89,67,11.3,291,0,218481,0.36,0
9,1821788,389179,780504,75,60,25.08,163,3,254975,0.43,0
8,4804229,338721,91005,87,62,32.48,454,6,725245,0.02,0
12,391896,377375,582816,84,87,9.77,470,3,559292,1.49,1
2,4807765,171171,1021983,72,58,33.87,623,8,1445699,0.21,1
1,1283329,362044,1338519,53,65,14.58,752,9,1012008,1.04,1
16,2580612,376823,963843,91,53,16.74,585,4,468770,0.37,0
5,433979,295626,1449238,63,83,9.61,935,8,689397,3.34,1
3,478104,341356,181532,96,56,23.48,247,0,733527,0.38,0
12,2198547,302192,1405537,88,64,22.89,564,3,1079447,0.64,1
8,4244630,45814,1368980,56,87,18.27,233,6,1301575,0.32,1
3,4325279,200766,1194525,57,60,19.28,667,1,431500,0.28,0
1,4991882,70204,259673,91,81,23.69,267,8,1625943,0.05,0
3,4529454,42844,417939,100,76,22.5,427,2,1829337,0.09,0
5,1195893,258827,1323663,68,79,16.23,72,3,1593662,1.11,1
15,3396247,255256,403522,51,66,31.52,595,3,262773,0.12,1
14,2039050,354087,167856,96,85,25.03,333,7,1221802,0.08,0
3,2870492,31518,383545,50,68,11.16,393,1,1378974,0.13,0
1,2655257,33052,221099,91,56,14.6,56,4,1252234,0.08,0
5,3177299,266346,1471766,87,92,28.64,743,1,235298,0.46,0
14,3134317,79803,1075947,62,94,8.14,543,5,1763672,0.34,0
7,4166914,81524,1147322,91,70,27.51,999,8,1518253,0.28,1
9,3503481,234582,921440,93,77,15.77,103,8,297421,0.26,1
15,4737454,361716,287871,73,52,21.55,919,0,1267101,0.06,0
15,1746064,77021,638288,81,63,13.42,113,3,1648946,0.37,0
10,3440641,221321,1112545,79,51,34.59,434,3,1830939,0.32,0
13,2915548,292187,1470160,55,78,32.18,361,0,1886939,0.5,0
19,979091,12419,592819,87,67,32.85,738,9,856638,0.61,1
7,2566789,197964,1214632,82,86,10.54,569,1,1508291,0.47,0
17,2366791,131831,961795,93,94,30.25,440,5,1072222,0.41,0
20,3577180,254688,1244876,72,94,21.06,367,9,1499321,0.35,1
4,1906930,111799,485315,59,73,26.24,734,2,692448,0.25,0
5,1164795,204941,677510,95,95,11.53,801,8,105505,0.58,0
7,2783236,186282,939565,64,61,26.36,606,2,1418269,0.34,0
13,1778458,329744,231944,72,94,32.43,147,2,856396,0.13,0
15,2009771,388611,1105366,85,81,13.02,860,8,675437,0.55,1
11,469515,350641,802080,50,67,12.0,171,2,1027707,1.71,1
4,1820179,118611,1110355,57,62,8.13,541,5,1600384,0.61,1
13,3997267,147559,106371,52,53,13.0,57,5,1336475,0.03,1
7,871986,332836,298816,63,72,21.07,446,0,1638087,0.34,0
19,2534482,72112,1379829,66,59,29.98,124,6,899889,0.54,1
2,3221786,249040,34593,83,54,13.36,184,8,487437,0.01,1
10,337900,288504,407002,96,99,23.63,957,8,268183,1.2,1
